x,Pe_W
0,275.99999999999994
0.5,293.41604278074857
1,287.0233957219251
1.5,283.23684664481624
2,274.8097291702605
2.5,266.38261169570467
3,257.95549422114885
3.5,249.52837674659304
4,241.84989858012165
4.5,234.3429835884196
5,240.57754010695186
5.5,255.31229946524067
6,301.97647058823543
6.5,355.6759358288771
7,409.3754010695187
7.5,433.5330882352941
8,434.3276616431696
8.5,428.3903743315508
9,422.4530870199319
9.5,409.29545454545456
10,381.6770053475936
10.5,356.4385026737968
11,343.6624331550802
11.5,338.7042112299465
12,343.89304812834223
12.5,351.22660427807483
13,348.27165775401073
13.5,335.16921313980146
14,324.1155080213904
14.5,322.3766711229946
15,328.1005347593582
15.5,344.77860962566837
16,379.1515151515149
16.5,435.26987522281604
17,491.38823529411724
17.5,540.5368983957217
18,562.2331550802139
18.5,552.8609625668449
19,533.0260249554367
19.5,513.1910873440286
20,493.52781886448975
20.5,474.5369211514393
21,455.5460234383889
21.5,436.44213139801366
22,410.7845683728036
22.5,383.6941176470588
23,345.9593582887701
23.5,309.2085561497327
