case_folder,case,ev_charge_max_kw,offset_max_hours,n_dwelling_files,n_runs,step_hours,mean_aggregated_electricity_kwh,mean_aggregated_gas_kwh,peak_extreme_demand_kw,peak_mean_demand_kw,total_electricity_cost_gbp_unoffset_tariff,total_gas_cost_gbp_unoffset_tariff,total_energy_cost_gbp_unoffset_tariff
cosy_hybrid_EV_5kW_offset0p5h,hybrid,5.0,0.5,147,10,0.5,31141.248715696784,17071.85444063021,777.2115002022505,733.6027687891325,3457.479930245152,853.5927220315104,4311.072652276663
cosy_hybrid_EV_5kW_offset1p0h,hybrid,5.0,1.0,147,10,0.5,31149.650359802796,17064.78786889982,717.2797290826169,649.0611857617569,3548.9930140222214,853.2393934449908,4402.232407467212
cosy_hybrid_EV_5kW_offset2p0h,hybrid,5.0,2.0,147,10,0.5,31201.696472916694,16892.693627473738,546.741564472383,492.6216448885727,3730.574513315044,844.6346813736869,4575.20919468873
cosy_hybrid_EV_5kW_offset3p0h,hybrid,5.0,3.0,147,10,0.5,31247.5223248305,16717.774796686703,491.5835942150307,447.4885012848762,3930.411279722507,835.8887398343353,4766.300019556842
cosy_hybrid_EV_5kW_offset4p0h,hybrid,5.0,4.0,147,10,0.5,31282.927442985474,16581.4836141536,446.36893468604586,397.0932192949315,4108.893002543695,829.0741807076801,4937.967183251375
cosy_monovalent_EV_5kW_offset0p5h,monovalent,5.0,0.5,147,10,0.5,32267.366540537696,0.0,857.4265739988848,811.4714288032401,3344.2931187559116,0.0,3344.2931187559116
cosy_monovalent_EV_5kW_offset1p0h,monovalent,5.0,1.0,147,10,0.5,32282.216084513835,0.0,790.2047619842447,730.3041256951749,3477.792987566808,0.0,3477.792987566808
cosy_monovalent_EV_5kW_offset2p0h,monovalent,5.0,2.0,147,10,0.5,32314.28028149143,0.0,610.2017514953856,554.0143195018553,3728.1350916236443,0.0,3728.1350916236443
cosy_monovalent_EV_5kW_offset3p0h,monovalent,5.0,3.0,147,10,0.5,32339.239346409173,0.0,567.855034431579,510.14913911058045,3982.985680632432,0.0,3982.985680632432
cosy_monovalent_EV_5kW_offset4p0h,monovalent,5.0,4.0,147,10,0.5,32360.4790695678,0.0,523.3740787073473,475.97715756066845,4195.100215159333,0.0,4195.100215159333
